year,team_full_name,week,weekly_attendance,home,Sb_winners,Sb_winners_prev_years,Playoff_prev_years,Bad_streak,Medium_streak,Good_streak
2000,Minnesota Vikings,13,63878.0,False,,,,False,True,False
2000,Minnesota Vikings,14,64214.0,True,,,,False,True,False
2000,Minnesota Vikings,15,66273.0,False,,,,False,True,False
2000,Minnesota Vikings,16,64183.0,True,,,,False,False,True
2000,Minnesota Vikings,17,56672.0,False,,,,False,False,True
2000,New England Patriots,1,60292.0,True,,,,True,False,False
2000,New England Patriots,2,77687.0,False,,,,True,False,False
2000,New England Patriots,3,60292.0,True,,,,True,False,False
2000,New England Patriots,4,73344.0,False,,,,True,False,False
2000,New England Patriots,5,75684.0,False,,,,True,False,False
2000,New England Patriots,6,60292.0,True,,,,True,False,False
2000,New England Patriots,7,60292.0,True,,,,True,False,False
2000,New England Patriots,8,56828.0,False,,,,False,True,False
2000,New England Patriots,9,,,,,,False,True,False
2000,New England Patriots,10,60292.0,True,,,,False,True,False
2000,New England Patriots,11,72618.0,False,,,,False,True,False
2000,New England Patriots,12,60292.0,True,,,,False,True,False
2000,New England Patriots,13,77923.0,False,,,,True,False,False
2000,New England Patriots,14,60292.0,True,,,,True,False,False
2000,New England Patriots,15,66944.0,False,,,,True,False,False
2000,New England Patriots,16,47230.0,False,,,,False,True,False
2000,New England Patriots,17,60292.0,True,,,,False,True,False
2000,New Orleans Saints,1,64900.0,True,,,,True,False,False
2000,New Orleans Saints,2,51300.0,False,,,,True,False,False
2000,New Orleans Saints,3,59513.0,False,,,,True,False,False
2000,New Orleans Saints,4,64900.0,True,,,,True,False,False
2000,New Orleans Saints,5,,,,,,True,False,False
2000,New Orleans Saints,6,66944.0,False,,,,True,False,False
2000,New Orleans Saints,7,50015.0,True,,,,True,False,False
2000,New Orleans Saints,8,56508.0,False,,,,False,True,False
2000,New Orleans Saints,9,35286.0,False,,,,False,True,False
2000,New Orleans Saints,10,64900.0,True,,,,False,True,False
2000,New Orleans Saints,11,72981.0,False,,,,False,False,True
2000,New Orleans Saints,12,64900.0,True,,,,False,False,True
2000,New Orleans Saints,13,66064.0,False,,,,False,False,True
2000,New Orleans Saints,14,64900.0,True,,,,False,False,True
2000,New Orleans Saints,15,67892.0,False,,,,False,False,True
2000,New Orleans Saints,16,64900.0,True,,,,False,True,False
2000,New Orleans Saints,17,64900.0,True,,,,False,True,False
2000,New York Giants,1,77434.0,True,,,,True,False,False
2000,New York Giants,2,65530.0,False,,,,True,False,False
2000,New York Giants,3,66944.0,False,,,,True,False,False
2000,New York Giants,4,78216.0,True,,,,False,True,False
2000,New York Giants,5,68341.0,False,,,,False,True,False
2000,New York Giants,6,50947.0,False,,,,False,True,False
2000,New York Giants,7,78189.0,True,,,,False,True,False
2000,New York Giants,8,,,,,,False,True,False
2000,New York Giants,9,78087.0,True,,,,False,True,False
2000,New York Giants,10,72718.0,False,,,,False,True,False
2000,New York Giants,11,78174.0,True,,,,False,True,False
2000,New York Giants,12,77897.0,True,,,,False,False,True
2000,New York Giants,13,42094.0,False,,,,False,False,True
2000,New York Giants,14,83485.0,False,,,,False,True,False
2000,New York Giants,15,78164.0,True,,,,False,True,False
2000,New York Giants,16,61311.0,False,,,,False,True,False
2000,New York Giants,17,77924.0,True,,,,False,True,False
2000,New York Jets,1,59870.0,False,,,,True,False,False
2000,New York Jets,2,77687.0,True,,,,True,False,False
2000,New York Jets,3,77884.0,True,,,,True,False,False
2000,New York Jets,4,65619.0,False,,,,False,True,False
2000,New York Jets,5,,,,,,False,True,False
2000,New York Jets,6,78441.0,True,,,,False,True,False
2000,New York Jets,7,60292.0,False,,,,False,False,True
2000,New York Jets,8,78389.0,True,,,,False,False,True
2000,New York Jets,9,72861.0,False,,,,False,False,True
2000,New York Jets,10,78305.0,True,,,,False,False,True
2000,New York Jets,11,56657.0,False,,,,False,True,False
2000,New York Jets,12,74320.0,False,,,,False,True,False
2000,New York Jets,13,77354.0,True,,,,False,True,False
2000,New York Jets,14,78138.0,True,,,,False,True,False
2000,New York Jets,15,62632.0,False,,,,False,True,False
2000,New York Jets,16,77513.0,True,,,,False,True,False
2000,New York Jets,17,69184.0,False,,,,False,True,False
2000,Oakland Raiders,1,56373.0,True,,,,True,False,False
2000,Oakland Raiders,2,56769.0,False,,,,True,False,False
2000,Oakland Raiders,3,62078.0,True,,,,True,False,False
2000,Oakland Raiders,4,45702.0,True,,,,False,True,False
2000,Oakland Raiders,5,,,,,,False,True,False
2000,Oakland Raiders,6,68344.0,False,,,,False,True,False
2000,Oakland Raiders,7,79025.0,False,,,,False,True,False
2000,Oakland Raiders,8,57490.0,True,,,,False,False,True
2000,Oakland Raiders,9,66659.0,False,,,,False,False,True
2000,Oakland Raiders,10,62428.0,True,,,,False,False,True
2000,Oakland Raiders,11,75951.0,False,,,,False,False,True
2000,Oakland Raiders,12,64900.0,False,,,,False,False,True
2000,Oakland Raiders,13,55175.0,True,,,,False,False,True
2000,Oakland Raiders,14,55811.0,False,,,,False,False,True
2000,Oakland Raiders,15,62632.0,True,,,,False,False,True
2000,Oakland Raiders,16,68681.0,False,,,,False,True,False
2000,Oakland Raiders,17,60637.0,True,,,,False,True,False
2000,Philadelphia Eagles,1,62872.0,False,,,,True,False,False
2000,Philadelphia Eagles,2,65530.0,True,,,,True,False,False
2000,Philadelphia Eagles,3,59869.0,False,,,,True,False,False
2000,Philadelphia Eagles,4,64900.0,False,,,,True,False,False
2000,Philadelphia Eagles,5,65424.0,True,,,,True,False,False
2000,Philadelphia Eagles,6,65491.0,True,,,,False,True,False
2000,Philadelphia Eagles,7,38293.0,False,,,,False,True,False
2000,Philadelphia Eagles,8,65553.0,True,,,,False,True,False
2000,Philadelphia Eagles,9,78087.0,False,,,,False,True,False
2000,Philadelphia Eagles,10,65636.0,True,,,,False,False,True
2000,Philadelphia Eagles,11,56702.0,False,,,,False,True,False
2000,Philadelphia Eagles,12,65356.0,True,,,,False,True,False
2000,Philadelphia Eagles,13,83284.0,False,,,,False,False,True
2000,Philadelphia Eagles,14,65639.0,True,,,,False,False,True
2000,Philadelphia Eagles,15,72318.0,False,,,,False,False,True
2000,Philadelphia Eagles,16,,,,,,False,False,True
2000,Philadelphia Eagles,17,64902.0,True,,,,False,False,True
2000,Pittsburgh Steelers,1,55049.0,True,,,,True,False,False
2000,Pittsburgh Steelers,2,,,,,,True,False,False
2000,Pittsburgh Steelers,3,73018.0,False,,,,True,False,False
2000,Pittsburgh Steelers,4,51769.0,True,,,,True,False,False
2000,Pittsburgh Steelers,5,64351.0,False,,,,True,False,False
2000,Pittsburgh Steelers,6,78441.0,False,,,,True,False,False
2000,Pittsburgh Steelers,7,54328.0,True,,,,True,False,False
2000,Pittsburgh Steelers,8,57659.0,True,,,,False,True,False
2000,Pittsburgh Steelers,9,69405.0,False,,,,False,True,False
2000,Pittsburgh Steelers,10,68498.0,False,,,,False,False,True
