year,week,home_team_name,away_team_name,day,date,time,weekly_attendance,weekly_attendance_ratio,prev_game_attendance,avg_season_attendance_prev,home_team_superbowl_winner_last_season,away_team_superbowl_winner_last_season,home_team_playoffs_last_season,away_team_playoffs_last_season,home_team_wins_last_3,away_team_wins_last_3,pts_home,pts_away,yds_home,yds_away,turnovers_home,turnovers_away,zscore_pts_home,zscore_yds_home,zscore_turnovers_home,zscore_pts_away,zscore_yds_away,zscore_turnovers_away,full_date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2016,15,Giants,Lions,Sun,December 18,1:00PM,79434.0,0.7556434965420801,80874.0,74885.1875,False,False,False,False,2.0,3.0,17,6,300,324,0,2,-0.957124194537332,-0.9434733012691651,-1.2937681524866285,-1.5777560562345123,-0.29614438895953826,0.3061862178478973,2016-12-18,3.6,-0.6,12.8,,,,11.0,,1015.1,
2017,2,Giants,Lions,Mon,September 18,8:30PM,77004.0,0.7325272780890593,79434.0,76082.5,False,False,False,True,1.0,1.0,10,24,270,257,1,1,-1.6274635539042928,-0.768753014129879,-0.6039460272727363,0.29878744664871965,-1.351771941489467,0.07319250547113999,2017-09-18,22.2,20.6,25.0,0.0,,,8.7,,1019.2,
2017,5,Giants,Chargers,Sun,October 8,1:00PM,77373.0,0.7360375186689624,77004.0,76082.5,False,False,False,False,0.0,0.0,22,27,335,382,2,1,0.45568979509320195,0.054628175051453814,0.2745209214876074,0.16876141967664862,0.4208762025372272,-0.8336327319794462,2017-10-08,24.3,22.8,26.1,,,198.0,16.5,,1013.8,
2017,7,Giants,Seahawks,Sun,October 22,4:25PM,78527.0,0.7470153442223724,77373.0,76082.5,False,False,False,True,1.0,2.0,7,24,177,425,1,1,-2.1482518911536665,-1.946821484804709,-0.6039460272727363,0.16174414456060018,0.9136505145693657,-0.07879472870391253,2017-10-22,16.8,9.4,26.1,0.0,,,4.6,,1028.1,
2017,9,Giants,Rams,Sun,November 5,1:00PM,76877.0,0.7313191465073582,78527.0,76082.5,False,False,False,False,1.0,2.0,17,51,319,473,3,0,-0.4122907669890875,-0.14805027151625888,1.152987870247951,3.897256659171374,2.6739138059696597,-1.2723868014423128,2017-11-05,13.4,11.7,15.6,,,,6.8,,1022.8,
2017,11,Giants,Chiefs,Sun,November 19,1:00PM,76363.0,0.7264295430979538,76877.0,76082.5,False,False,False,True,0.0,1.0,12,9,317,363,1,3,-1.280271329071377,-0.17338507733722297,-0.6039460272727363,-2.0567283149086717,0.29398628115629794,1.9415491162242833,2017-11-19,10.1,3.9,15.0,,,275.0,23.9,,998.0,
2017,14,Giants,Cowboys,Sun,December 10,1:00PM,78125.0,0.7431911796881688,76363.0,76082.5,False,False,False,True,1.0,1.0,10,30,330,454,2,0,-1.6274635539042928,-0.008708839500956404,0.2745209214876074,0.41906340400521835,0.9941345606811839,-1.0094660663590602,2017-12-10,1.1,-2.2,4.4,0.0,,,12.7,,1011.9,
2017,15,Giants,Eagles,Sun,December 17,1:00PM,76896.0,0.7314998906022584,78125.0,76082.5,False,False,False,False,0.0,2.0,29,34,504,341,1,0,1.670862582008407,2.195419266922919,-0.6039460272727363,1.9577601839893035,0.05512805894322294,-1.0564428184106458,2017-12-17,1.4,0.0,2.8,0.0,,,4.8,,1024.3,
2017,17,Giants,Redskins,Sun,December 31,1:00PM,76269.0,0.7255353354705529,76896.0,76082.5,False,False,False,False,0.0,2.0,18,10,381,197,1,3,-0.2386946545726296,0.6373287089336278,-0.6039460272727363,-1.670822804838026,-2.453304247754931,1.7829130853093882,2017-12-31,-9.7,-12.8,-6.7,,,314.0,22.1,,1023.6,
2018,1,Giants,Jaguars,Sun,September 9,1:00PM,77992.0,0.7419259710238677,76269.0,73939.8125,False,False,False,True,1.0,1.0,15,20,324,305,2,1,-0.045436469035075075,0.11258680524707286,0.70616585358254,-0.6360033609510329,-0.682357767793897,-0.34632535752339527,2018-09-09,15.0,13.9,16.1,,,34.0,9.3,,1022.7,
2018,4,Giants,Saints,Sun,September 30,4:25PM,78213.0,0.7440283102329697,77992.0,73939.8125,False,False,False,True,1.0,2.0,18,33,299,389,2,0,0.3180552832455255,-0.17609731077106267,0.70616585358254,0.4944278824051177,-0.033263678752680464,-1.0978875820670997,2018-09-30,16.7,11.1,22.2,0.0,,,6.8,,1026.1,
2018,6,Giants,Eagles,Thu,October 11,8:20PM,77167.0,0.7340778721663607,78213.0,73939.8125,False,True,False,True,1.0,1.0,13,34,401,379,1,0,-0.2877643038888088,1.0017338825829303,-0.42369951214952406,0.44556327786947725,0.1796994973764108,-1.4596855203028554,2018-10-11,23.0,21.7,27.2,,,,11.6,,1006.1,
2018,8,Giants,Redskins,Sun,October 28,1:00PM,77537.0,0.7375976255933638,77167.0,73939.8125,False,False,False,False,0.0,2.0,13,20,303,360,2,1,-0.2877643038888088,-0.12990785220816098,0.70616585358254,-0.2185478389157322,0.39665739403327616,-0.55,2018-10-28,9.6,7.2,11.7,0.6,,,11.5,,1007.0,
2018,11,Giants,Buccaneers,Sun,November 18,1:00PM,75863.0,0.7216731195479495,77537.0,73939.8125,False,False,False,False,1.0,0.0,38,35,359,510,0,4,2.741333631782863,0.5167445676724626,-1.5535648778815883,1.7284117439993467,2.0666069711470247,1.5488539628160043,2018-11-18,5.6,3.3,6.7,0.0,,,4.3,,1026.4,
